Source,Date,Title,Content,Name,Rating,Version
Razer Game Deals,17/06/2018,,Compulsory login. Are u out of ur mind,Gaurav Mehra,1,
Razer Game Deals,12/06/2018,,"The app hasn't been giving notifications for a month or two, despite notifications being turned on. Has yet to be fixed.",Pork Chopper,3,
Razer Game Deals,12/06/2018,,very ok. gives me what I need. comparisons.,ivo prata,5,
Razer Game Deals,10/06/2018,,Still needs work,Shawn Jeysus,4,
Razer Game Deals,09/06/2018,,Good app with awesome deals,Dark Hacker,4,
Razer Game Deals,08/06/2018,,Useful app,Nguyen Phuong Anh,5,
Razer Game Deals,07/06/2018,,I like it a lot,Donavyn Martinez,5,
Razer Game Deals,02/06/2018,,It's crazy,Afonso Silva,5,
Razer Game Deals,22/05/2018,,"Cannot connect my Steam account. Every time I sign in through Cortex, it still tells me I have to sync my Steam account. I've synced it 7 times now, and it still hasn't worked.",Pork Chopper,2,
Razer Game Deals,19/05/2018,,"Love Razer! Best products period. Cortex is great, use it on my PC's, during gaming, and always on mobile!",TheReal Fazethree,5,
Razer Game Deals,09/05/2018,,"I can no longer link my steam account & the wishlist view only displays the first 15 items, meaning I can't even tell what's on my wishlist and what's not This app is a fantastic concept, I only wish that it worked as intended.",Nick Carrigan,3,
Razer Game Deals,08/05/2018,,Great app for keeping track of game sales!,Game Geek,5,
Razer Game Deals,05/05/2018,,"CRASHES UPON STARTING, UNUSABLE. MEIZU M3 NOTE GLOBAL ROM ANDROID 5.1",Lorenzitto,1,
Razer Game Deals,01/05/2018,,Easy to navigate and runs smoothly.,Miles Kay,5,
Razer Game Deals,01/05/2018,,game instantly crashed as soon as i opened it on my redmi note 3,Yash Veer,1,
Razer Game Deals,01/05/2018,,"Great app for finding the best deals on games, the wishlist doesn't automatically update with your steam wishlist though, very strange",Kenny Huntsinger,3,
Razer Game Deals,30/04/2018,,Works well,Gary Jenkins,5,
Razer Game Deals,29/04/2018,,"Used to be good but now it's impossible to see the prices, hence, it's useless.",Lucian Menezes,2,
Razer Game Deals,29/04/2018,,It crashes as soon as I click on the app's icon,ali eldeen,1,
Razer Game Deals,27/04/2018,,It crashes on start on Asus Zenfone ZB452KG. I cannot use this application.,Adrian Adi,1,
Razer Game Deals,24/04/2018,,Great for finding good deals on the game's I want.,Jabez Woody,5,
Razer Game Deals,20/04/2018,,Doesn't link my steam,El Cancer,1,
